id|x|y
20665|116.913238666|34.7453618322
20744|116.93446038|34.7706219602
20775|116.905125604|34.8037275839
20784|116.90802971|34.8045539948
20955|120.622200564|31.6613012798
20956|120.788724786|31.7484187737
34873|119.949304072|32.1436988768
34874|119.944011593|32.1404927718
34876|119.933854935|32.1397073938
34877|119.944383275|32.1285186703
34878|119.947178832|32.1290371987
42527|119.931275439|32.1464966676
42528|119.928823739|32.1777799104
42529|120.283692808|32.1603268777
42530|120.144621314|32.3426490723
42531|119.987413728|32.2003997632
42532|120.235388335|31.6835285741
42533|120.075899405|32.5362608463
42534|120.105430275|32.51819846
42535|121.051164009|32.551604365
42536|120.545081773|31.8519002
54815|120.30224602|32.4240614316
3559|120.587512622|32.5279801046
11011|120.511556528|32.4990473164
21122|120.622304632|32.4967873423
21124|120.538425021|32.55439764
21587|120.450383858|32.4924502872
29323|120.608215537|32.607925577
29324|120.489847734|32.599715249
29325|120.283740754|32.6793278933
37604|120.347068643|32.5270797371
37605|120.388551535|32.6681739315
37606|120.860579338|32.6054977451
37607|120.703306331|32.5219727917
37608|120.75096481|32.5228360271
39899|120.744122249|32.5666588137
1501|120.39419779|32.6354494309
1503|120.326911616|32.4143509515
3387|120.137683529|32.5033320902
17140|119.913539596|31.3636787046
17152|119.753283548|31.4512131125
17153|118.754222778|31.9732712293
17154|118.818070812|31.94820657
17155|118.589502615|31.8567633484
17156|118.587844615|31.8578170726
17157|118.833331088|32.3360229833
17158|120.795080211|32.0534632358
17159|116.887978194|34.719744088
17160|116.908843577|34.7489203335
17161|116.8869885|34.7635859407
17162|116.926203387|34.749943819
17163|116.926201996|34.7486205532
17164|116.926200753|34.7474224874
17165|119.002072073|33.0116908973
17166|118.910442461|31.9407795071
17167|118.889415061|31.7502476091
20679|118.885814439|31.7509679015
20684|118.887533732|31.7467379949
20696|118.89039798|31.7518930206
20708|118.827970824|31.8371007585
20711|118.78176107|31.8737862339
20733|118.823570721|31.8375729965
20740|118.822190318|31.8418719911
30680|118.56839688|31.8551500374
30681|120.345406735|32.5514903785
30682|120.40430733|33.1726044161
30683|120.397814866|33.1140710559
30684|120.54228284|31.8501029635
30685|119.845368177|33.2364179579
30686|120.091559785|33.1843151509
30687|120.111273329|33.19600636
30688|119.885664604|31.8552373317
30689|119.892397016|31.8592886037
30690|119.886553351|31.8567187746
30691|119.885308591|31.8573111788
30692|119.907125281|31.8615231202
32472|119.890917928|31.8606490164
38808|119.888578749|31.8555854499
38809|119.842796979|31.9001106847
38810|119.840688366|31.9010053955
38811|119.840293114|31.9021548342
38812|119.841780267|31.9003896924
38813|119.842110906|31.9005150614
38814|119.842550553|31.9010647536
38815|119.532527071|32.2589376698
38816|120.564674905|32.4266164744
38817|119.965344444|32.4817048172
20321|119.977667017|32.4741531531
20324|119.262450817|34.0928855128
21220|119.262961439|34.092899962
21222|120.390287995|32.509983444
21438|117.757658236|34.3926444498
22718|117.757480661|34.3923325017
22719|120.098062079|33.4018923498
23762|119.048489353|33.3196173428
31646|119.052102201|33.2943449484
41505|119.076246884|33.2975591234
53233|119.093148821|33.2973240193
53459|119.100553838|33.2830508878
53460|119.112719884|33.2758720925
20467|119.108818163|33.2616909021
21325|119.11561133|33.2604666587
21326|119.112358795|33.2461898667
21327|119.081311437|33.2477858982
21328|119.091504817|33.2449828569
21329|119.081228869|33.2357102875
21330|119.06896379|33.2182586038
21331|120.719762494|33.2228185315
21332|120.223921647|33.426076201
21344|119.258430509|34.1094533533
21345|120.595129847|32.0440545569
21346|120.591806074|32.0441624665
21347|120.470752409|32.2349190215
21348|120.469955529|32.2345761199
21349|120.594043678|31.4619070147
21350|120.61962304|31.4909536579
21352|120.406876307|31.3750515185
21353|120.520863989|31.3444884605
21354|117.406897783|34.3180144034
21355|120.067219117|33.3321619816
21356|119.1604596|32.325256297
21357|119.102462004|32.2662461576
21366|117.904792915|33.9234150411
21374|119.399560039|34.0004532283
29983|119.401556615|34.0031687187
49727|121.166665362|31.8692710327
53932|121.245672607|31.8873018535
53933|119.856953238|33.7692802892
41501|119.857594058|33.7669548351
41502|119.848848636|33.7678004166
41503|119.732061643|33.7697493269
41504|119.728743274|33.767677104
5367|119.775872374|32.6071300387
17239|119.617568831|32.4983940229
20801|119.60516354|32.3965263971
21095|119.755393529|32.610973448
21116|119.757151625|32.6111837149
53234|119.685474293|32.6512345981
3440|119.515169725|32.4890959111
3445|119.605050266|32.504879342
19886|116.624069416|34.5392958588
19887|116.62454646|34.5332982682
20559|116.626500287|34.5338797388
20560|116.725237447|34.5034276644
20561|116.754925897|34.5101997028
20562|119.006603876|33.4325210177
20563|119.009717459|33.4308247259
20703|119.062875094|33.6485495872
20704|119.079202838|33.63996791
20705|119.078139499|33.6397983999
20706|119.128767004|33.6613628724
20707|119.052197558|33.3886950902
20884|119.123389169|33.5759458902
20969|119.021664289|33.6005557851
21191|120.178123342|31.9610633791
21194|120.419115036|32.0664645534
21197|120.331404322|32.0726119091
21200|120.348001462|32.0617134898
21203|120.317215892|31.9980057592
21914|120.116879768|31.9739961043
21925|120.323223148|31.999391307
21936|120.326307576|32.0024313608
21949|120.331825719|31.9974515377
21960|120.093472534|34.3553345449
21970|121.65778027|31.7932049121
21981|121.750576961|31.7685390914
21990|121.028301236|31.3760127783
22000|121.018153928|31.3728146098
22013|121.038961172|32.0613185077
29320|121.063996163|32.0295774352
22683|121.057695029|32.0204974646
23127|121.038961172|32.0613185077
25485|121.158893858|32.0518769714
37548|121.138210291|32.1483704063
37549|119.920237942|33.4658645226
37550|118.965198375|32.9919955886
37551|119.201064542|33.1762011676
37552|119.675015392|32.6737434551
37553|119.675527711|32.6677388036
37554|119.674692799|32.68356307
37555|120.093241314|32.8547542734
46781|120.092178425|32.8559461916
46782|120.090240469|32.8514691847
46783|120.093496505|32.8543615477
46784|120.291903557|33.0660026563
46785|120.933831241|31.3433210177
49725|120.908176828|31.4520262463
49726|120.865979558|31.3653422546
50616|120.865257317|31.3652505194
50623|120.865753891|31.3661772741
50637|120.907026464|31.4514063851
50643|120.316432722|31.5522622917
50645|120.211526047|33.3556249207
50667|120.21323655|33.3536009711
50668|120.502047156|32.5605466577
50669|119.480980527|32.7490096151
52868|119.50458816|32.7795922307
52870|119.299176391|32.6487764475
52871|119.33179121|32.7061774215
52872|119.328674284|32.695045998
52873|119.270566779|32.643152013
52874|119.285470881|32.6476397033
52875|118.705731002|33.8045471977
52876|118.609968368|33.7408354425
52878|118.609516991|33.7374178817
52879|118.608960422|33.7369676806
52880|118.608407943|33.7365265389
52881|118.609590448|33.7364703242
52882|118.609054068|33.7360084069
52883|118.608140366|33.740441628
52884|118.608141762|33.7400564859
52885|118.608135478|33.739286874
52886|118.608132385|33.7389084065
52887|118.705977549|33.8034446273
56266|118.60812906|33.738502926
19858|118.607303417|33.7396955979
19859|118.607301314|33.7392915197
20269|118.60729935|33.7389135157
20274|118.607297246|33.7385081483
20276|118.60729513|33.7381022037
20278|118.595194222|33.7460667839
20280|118.594039059|33.7449605163
20282|118.60730729|33.7404409487
20284|118.608138787|33.7396913897
20292|118.70493204|33.804828633
20310|118.607311364|33.7412239233
20909|118.60813896|33.7408306917
25483|118.609131817|33.7408385587
25488|118.609136051|33.7404424318
29155|118.595533009|33.7047072325
29157|118.595500183|33.7045275752
29159|118.600105605|33.707047164
29162|118.567336394|33.7127566444
29165|118.707038851|33.804139131
29168|118.707009799|33.803484146
29278|118.704917482|33.8077914661
29281|118.6063964|33.7418236745
29283|118.606595393|33.7407113819
29285|118.607309327|33.7408324315
29287|118.212561216|33.912442934
29289|118.232996275|33.8995625853
29292|118.213005015|33.8972480704
29516|118.239690643|33.8860974631
29517|118.231029701|33.9187250947
29518|119.052308708|32.2556159372
29519|117.951843011|34.3534240947
29520|117.954739622|34.3526729448
29521|117.956786629|34.3539349803
29522|117.952527832|34.3550315905
29523|117.956282518|34.3561309657
29524|117.953842443|34.3563207977
29525|118.023198121|34.297289151
29526|117.912886017|34.283995277
